Job Title,Company Name,Location,Job Description,Visa Sponsorship
Cloud Engineer,DataWorks,"Dublin, Ireland","Become part of a dynamic team at DataWorks. As a Cloud Engineer, you'll tackle challenges in Dublin, Ireland with Visa assistance for qualified applicants.",Visa assistance for qualified applicants
IT Specialist,BuildPro Engineering,"Toronto, Canada","We are expanding our team at BuildPro Engineering and looking for a skilled IT Specialist in Toronto, Canada. Attractive benefits and Sponsorship for exceptional candidates.",Sponsorship for exceptional candidates
DevOps Engineer,MetroBuild Engineering,"New York, USA","We are expanding our team at MetroBuild Engineering and looking for a skilled DevOps Engineer in New York, USA. Attractive benefits and Relocation and visa assistance included.",Relocation and visa assistance included
Software Engineer,Quantum Leap Tech,"Toronto, Canada","We are expanding our team at Quantum Leap Tech and looking for a skilled Software Engineer in Toronto, Canada. Attractive benefits and Visa sponsorship provided.",Visa sponsorship provided
Mobile App Developer,MetroBuild Engineering,"Dubai, UAE","MetroBuild Engineering is seeking an experienced Mobile App Developer to join our team in Dubai, UAE. In this role, you will work on critical projects that involve cutting-edge technologies. Responsibilities include designing, implementing, and maintaining scalable systems, collaborating with cross-functional teams to understand business requirements, and ensuring solutions meet high standards of quality. You will have opportunities to innovate, automate, and optimize complex systems, driving efficiency across our platforms. Ideal candidates will have proven experience, strong technical skills, and a problem-solving mindset. We are committed to attracting top global talent, and Sponsorship support for international candidates. Relocation assistance is also available for international candidates. Key Responsibilities: - Develop, test, and deploy features that enhance system performance. - Collaborate closely with product managers and stakeholders to deliver timely solutions. - Debug and optimize existing systems for speed, scalability, and reliability. - Ensure the codebase is clean, efficient, and maintainable. - Mentor junior developers and share best practices. Skills & Requirements: - 3+ years of experience as a Mobile App Developer. - Proficiency in modern programming languages and frameworks. - Familiarity with cloud platforms and containerization tools. - Strong analytical, troubleshooting, and debugging skills. Benefits: - Competitive salary with performance-based incentives. - Comprehensive health insurance. - Generous leave policies. - Work visa sponsorship for exceptional candidates. - Opportunities to work on international projects and career growth.",Sponsorship support for international candidates
Cloud Engineer,Quantum Leap Tech,"Dublin, Ireland","Quantum Leap Tech is seeking an experienced Cloud Engineer to join our team in Dublin, Ireland. In this role, you will work on critical projects that involve cutting-edge technologies. Responsibilities include designing, implementing, and maintaining scalable systems, collaborating with cross-functional teams to understand business requirements, and ensuring solutions meet high standards of quality. You will have opportunities to innovate, automate, and optimize complex systems, driving efficiency across our platforms. Ideal candidates will have proven experience, strong technical skills, and a problem-solving mindset. We are committed to attracting top global talent, and Global mobility support. Relocation assistance is also available for international candidates.

Key Responsibilities:
- Develop, test, and deploy features that enhance system performance.
- Collaborate closely with product managers and stakeholders to deliver timely solutions.
- Debug and optimize existing systems for speed, scalability, and reliability.
- Ensure the codebase is clean, efficient, and maintainable.
- Mentor junior developers and share best practices.

Skills & Requirements:
- 3+ years of experience as a Cloud Engineer.
- Proficiency in modern programming languages and frameworks.
- Familiarity with cloud platforms and containerization tools.
- Strong analytical, troubleshooting, and debugging skills.

Benefits:
- Competitive salary with performance-based incentives.
- Comprehensive health insurance.
- Generous leave policies.
- Work visa sponsorship for exceptional candidates.
- Opportunities to work on international projects and career growth.",Global mobility support
Electrical Engineer,Nimbus Innovations,"Amsterdam, Netherlands","Nimbus Innovations is hiring a Electrical Engineer for our Amsterdam, Netherlands office. You'll collaborate with innovative teams and deliver high-quality solutions. Work permit assistance",Work permit assistance
Full Stack Developer,Tech Solutions Inc.,Singapore,"Exciting opportunity for a Full Stack Developer at Tech Solutions Inc., located in Singapore. Competitive pay and Work visa sponsorship included. Apply now!",Work visa sponsorship included
Solutions Architect,DataWorks,"Dublin, Ireland","At DataWorks, we are passionate about driving innovation and creating solutions that impact industries worldwide. As a Solutions Architect in our Dublin, Ireland office, you will play a key role in solving technical challenges and developing high-performance applications that scale seamlessly. Your expertise will drive the design and development of critical systems, ensuring they meet both functional and technical needs. Role Overview: You will join a high-performing team of engineers focused on building robust software. Responsibilities include gathering requirements, designing architectures, writing clean and modular code, and performing rigorous testing to ensure system stability. Work visa sponsorship included for the right candidate. Detailed Responsibilities: - Collaborate with engineering leads to define technical strategies. - Develop innovative solutions to complex business problems. - Participate in agile development cycles, including code reviews. - Enhance existing products and design next-generation systems. - Optimize application performance and ensure fault tolerance. We value creativity, teamwork, and persistence. The ideal candidate will be proactive, technically skilled, and eager to solve big problems. Join us in this exciting journey to redefine technology solutions. Perks: - Visa sponsorship and relocation assistance for international candidates. - Competitive salary with annual bonuses. - Flexible work arrangements. - Professional development programs to grow your career.",Work visa sponsorship included
Backend Developer,EcoTech Solutions,Singapore,Looking for your next challenge? Join EcoTech Solutions as a Backend Developer in Singapore and enjoy We provide full visa sponsorship.,We provide full visa sponsorship
